"He's a Pirate"

# Right Hand
14.070000 62 108
13.860000 67 108
13.930000 67 108
14.000000 67 108
14.070000 67 108
14.140000 62 108
14.210000 62 108
14.140000 67 108
14.210000 67 108
14.280000 62 108
14.350000 62 108
14.280000 69 108
14.350000 69 108
14.420000 62 108
14.490000 62 108
14.560000 62 108
14.630000 62 108
14.420000 67 108
14.490000 67 108
14.560000 67 108
14.630000 67 108
14.420000 70 108
14.490000 70 108
14.560000 70 108
14.630000 70 108
14.700000 62 108
14.770000 62 108
14.840000 62 108
14.910000 62 108
14.700000 67 108
14.770000 67 108
14.840000 67 108
14.910000 67 108
14.700000 70 108
14.770000 70 108
14.840000 70 108
14.910000 70 108
15.050000 65 108
15.120000 65 108
15.050000 69 108
15.120000 69 108
15.190000 64 108
15.260000 64 108
15.190000 67 108
15.260000 67 108
15.330000 65 108
15.400000 65 108
15.330000 69 108
15.400000 69 108
15.470000 62 108
15.540000 62 108
15.610000 62 108
15.680000 62 108
15.960000 62 108
16.030000 62 108
16.100000 64 108
16.170000 64 108
16.240000 58 108
16.310000 58 108
16.380000 58 108
16.450000 58 108
16.240000 62 108
16.310000 62 108
16.380000 62 108
16.450000 62 108
16.240000 65 108
16.310000 65 108
16.380000 65 108
16.450000 65 108
16.520000 58 108
16.590000 58 108
16.660000 58 108
16.730000 58 108
16.520000 62 108
16.590000 62 108
16.660000 62 108
16.730000 62 108
16.520000 65 108
16.590000 65 108
16.660000 65 108
16.730000 65 108
16.800000 58 108
16.870000 58 108
16.940000 58 108
17.010000 58 108
16.800000 62 108
16.870000 62 108
16.940000 62 108
17.010000 62 108
16.800000 67 108
16.870000 67 108
16.940000 67 108
17.010000 67 108
17.150000 65 108
17.220000 65 108
17.150000 69 108
17.220000 69 108
17.290000 62 108
17.360000 62 108
17.430000 62 108
17.500000 62 108
17.710000 62 108
17.780000 62 108
17.850000 65 108
17.920000 65 108
18.060000 57 108
18.130000 57 108
18.200000 57 108
18.270000 57 108
18.060000 61 108
18.130000 61 108
18.200000 61 108
18.270000 61 108
18.060000 64 108
18.130000 64 108
18.200000 64 108
18.270000 64 108
18.340000 57 108
18.410000 57 108
18.480000 57 108
18.550000 57 108
18.340000 61 108
18.410000 61 108
18.480000 61 108
18.550000 61 108
18.340000 64 108
18.410000 64 108
18.480000 64 108
18.550000 64 108
18.620000 62 108
18.690000 62 108
18.620000 65 108
18.690000 65 108
18.760000 59 108
18.830000 59 108
18.760000 62 108
18.830000 62 108
18.900000 57 108
18.970000 57 108
19.040000 57 108
19.110000 57 108
19.180000 57 108
19.250000 57 108
18.900000 61 108
18.970000 61 108
19.040000 61 108
19.110000 61 108
19.180000 61 108
19.250000 61 108
18.900000 64 108
18.970000 64 108
19.040000 64 108
19.110000 64 108
19.180000 64 108
19.250000 64 108
19.530000 69 108
19.600000 69 108
19.670000 72 108
19.740000 72 108
19.810000 65 108
19.880000 65 108
19.950000 65 108
20.020000 65 108
19.810000 69 108
19.880000 69 108
19.950000 69 108
20.020000 69 108
19.810000 74 108
19.880000 74 108
19.950000 74 108
20.020000 74 108
20.160000 65 108
20.230000 65 108
20.300000 65 108
20.370000 65 108
20.160000 69 108
20.230000 69 108
20.300000 69 108
20.370000 69 108
20.160000 74 108
20.230000 74 108
20.300000 74 108
20.370000 74 108
20.440000 65 108
20.510000 65 108
20.440000 69 108
20.510000 69 108
20.440000 74 108
20.510000 74 108
20.580000 69 108
20.650000 69 108
20.580000 72 108
20.650000 72 108
20.580000 76 108
20.650000 76 108
20.720000 70 108
20.790000 70 108
20.860000 70 108
20.930000 70 108
20.720000 74 108
20.790000 74 108
20.860000 74 108
20.930000 74 108
20.720000 77 108
20.790000 77 108
20.860000 77 108
20.930000 77 108
21.000000 70 108
21.070000 70 108
21.140000 70 108
21.210000 70 108
21.000000 74 108
21.070000 74 108
21.140000 74 108
21.210000 74 108
21.000000 77 108
21.070000 77 108
21.140000 77 108
21.210000 77 108
21.350000 70 108
21.420000 70 108
21.350000 74 108
21.420000 74 108
21.350000 77 108
21.420000 77 108
21.490000 74 108
21.560000 74 108
21.490000 79 108
21.560000 79 108
21.630000 69 108
21.700000 69 108
21.770000 69 108
21.840000 69 108
21.630000 72 108
21.700000 72 108
21.770000 72 108
21.840000 72 108
21.630000 76 108
21.700000 76 108
21.770000 76 108
21.840000 76 108
21.910000 69 108
21.980000 69 108
22.050000 69 108
22.120000 69 108
21.910000 72 108
21.980000 72 108
22.050000 72 108
22.120000 72 108
21.910000 76 108
21.980000 76 108
22.050000 76 108
22.120000 76 108
22.260000 69 108
22.330000 69 108
22.260000 74 108
22.330000 74 108
22.400000 67 108
22.470000 67 108
22.400000 72 108
22.470000 72 108
22.540000 69 108
22.610000 69 108
22.540000 72 108
22.610000 72 108
22.680000 69 108
22.750000 69 108
22.820000 69 108
22.680000 74 108
22.750000 74 108
22.820000 74 108
23.100000 69 108
23.170000 69 108
23.310000 72 108
23.380000 72 108
23.450000 65 108
23.520000 65 108
23.590000 65 108
23.660000 65 108
23.450000 70 108
23.520000 70 108
23.590000 70 108
23.660000 70 108
23.450000 74 108
23.520000 74 108
23.590000 74 108
23.660000 74 108
23.730000 65 108
23.800000 65 108
23.870000 65 108
23.940000 65 108
23.730000 70 108
23.800000 70 108
23.870000 70 108
23.940000 70 108
23.730000 74 108
23.800000 74 108
23.870000 74 108
23.940000 74 108
24.010000 70 108
24.080000 70 108
24.010000 74 108
24.080000 74 108
24.150000 70 108
24.220000 70 108
24.150000 76 108
24.220000 76 108
24.360000 69 108
24.430000 69 108
24.500000 69 108
24.570000 69 108
24.360000 72 108
24.430000 72 108
24.500000 72 108
24.570000 72 108
24.360000 77 108
24.430000 77 108
24.500000 77 108
24.570000 77 108
24.640000 69 108
24.710000 69 108
24.780000 69 108
24.850000 69 108
24.640000 72 108
24.710000 72 108
24.780000 72 108
24.850000 72 108
24.640000 77 108
24.710000 77 108
24.780000 77 108
24.850000 77 108
24.920000 72 108
24.990000 72 108
24.920000 77 108
24.990000 77 108
25.060000 72 108
25.130000 72 108
25.060000 79 108
25.130000 79 108
25.200000 72 108
25.270000 72 108
25.340000 72 108
25.410000 72 108
25.200000 76 108
25.270000 76 108
25.340000 76 108
25.410000 76 108
25.550000 72 108
25.620000 72 108
25.690000 72 108
25.760000 72 108
25.550000 76 108
25.620000 76 108
25.690000 76 108
25.760000 76 108
25.830000 69 108
25.900000 69 108
25.830000 74 108
25.900000 74 108
25.970000 72 108
26.040000 72 108
26.110000 65 108
26.180000 65 108
26.250000 65 108
26.320000 65 108
26.110000 69 108
26.180000 69 108
26.250000 69 108
26.320000 69 108
26.110000 74 108
26.180000 74 108
26.250000 74 108
26.320000 74 108
26.740000 69 108
26.810000 69 108
26.880000 72 108
26.950000 72 108
27.020000 65 108
27.090000 65 108
27.160000 65 108
27.230000 65 108
27.020000 69 108
27.090000 69 108
27.160000 69 108
27.230000 69 108
27.020000 74 108
27.090000 74 108
27.160000 74 108
27.230000 74 108
27.300000 65 108
27.370000 65 108
27.440000 65 108
27.510000 65 108
27.300000 69 108
27.370000 69 108
27.440000 69 108
27.510000 69 108
27.300000 74 108
27.370000 74 108
27.440000 74 108
27.510000 74 108
27.650000 69 108
27.720000 69 108
27.650000 74 108
27.720000 74 108
27.790000 69 108
27.860000 69 108
27.790000 77 108
27.860000 77 108
27.930000 70 108
28.000000 70 108
28.070000 70 108
28.140000 70 108
27.930000 74 108
28.000000 74 108
28.070000 74 108
28.140000 74 108
27.930000 79 108
28.000000 79 108
28.070000 79 108
28.140000 79 108
28.210000 70 108
28.280000 70 108
28.350000 70 108
28.420000 70 108
28.210000 74 108
28.280000 74 108
28.350000 74 108
28.420000 74 108
28.210000 79 108
28.280000 79 108
28.350000 79 108
28.420000 79 108
28.560000 74 108
28.630000 74 108
28.560000 79 108
28.630000 79 108
28.700000 74 108
28.770000 74 108
28.700000 81 108
28.770000 81 108
28.840000 74 108
28.910000 74 108
28.980000 74 108
29.050000 74 108
28.840000 79 108
28.910000 79 108
28.980000 79 108
29.050000 79 108
28.840000 82 108
28.910000 82 108
28.980000 82 108
29.050000 82 108
29.120000 74 108
29.190000 74 108
29.260000 74 108
29.330000 74 108
29.120000 79 108
29.190000 79 108
29.260000 79 108
29.330000 79 108
29.120000 82 108
29.190000 82 108
29.260000 82 108
29.330000 82 108
29.400000 77 108
29.470000 77 108
29.400000 81 108
29.470000 81 108
29.610000 76 108
29.680000 76 108
29.610000 79 108
29.680000 79 108
29.750000 77 108
29.820000 77 108
29.750000 81 108
29.820000 81 108
29.890000 74 108
29.960000 74 108
30.030000 74 108
30.100000 74 108
30.310000 74 108
30.380000 74 108
30.450000 76 108
30.520000 76 108
30.660000 70 108
30.730000 70 108
30.800000 70 108
30.870000 70 108
30.660000 74 108
30.730000 74 108
30.800000 74 108
30.870000 74 108
30.660000 77 108
30.730000 77 108
30.800000 77 108
30.870000 77 108
30.940000 70 108
31.010000 70 108
31.080000 70 108
31.150000 70 108
30.940000 74 108
31.010000 74 108
31.080000 74 108
31.150000 74 108
30.940000 77 108
31.010000 77 108
31.080000 77 108
31.150000 77 108
31.220000 70 108
31.290000 70 108
31.360000 70 108
31.430000 70 108
31.220000 74 108
31.290000 74 108
31.360000 74 108
31.430000 74 108
31.220000 79 108
31.290000 79 108
31.360000 79 108
31.430000 79 108
31.500000 77 108
31.570000 77 108
31.500000 81 108
31.570000 81 108
31.710000 74 108
31.780000 74 108
31.850000 74 108
31.920000 74 108
32.130000 74 108
32.200000 74 108
32.270000 77 108
32.340000 77 108
32.410000 69 108
32.480000 69 108
32.550000 69 108
32.620000 69 108
32.410000 73 108
32.480000 73 108
32.550000 73 108
32.620000 73 108
32.410000 76 108
32.480000 76 108
32.550000 76 108
32.620000 76 108
32.760000 69 108
32.830000 69 108
32.900000 69 108
32.970000 69 108
32.760000 73 108
32.830000 73 108
32.900000 73 108
32.970000 73 108
32.760000 76 108
32.830000 76 108
32.900000 76 108
32.970000 76 108
33.040000 74 108
33.110000 74 108
33.180000 73 108
33.250000 73 108
33.320000 69 108
33.390000 69 108
33.460000 69 108
33.530000 69 108
33.320000 74 108
33.390000 74 108
33.460000 74 108
33.530000 74 108
33.600000 69 108
33.670000 69 108
33.740000 69 108
33.810000 69 108
33.600000 74 108
33.670000 74 108
33.740000 74 108
33.810000 74 108
33.950000 69 108
34.020000 69 108
34.090000 69 108
34.160000 69 108
33.950000 72 108
34.020000 72 108
34.090000 72 108
34.160000 72 108
33.950000 76 108
34.020000 76 108
34.090000 76 108
34.160000 76 108
34.230000 72 108
34.300000 72 108
34.370000 72 108
34.440000 72 108
34.230000 74 108
34.300000 74 108
34.370000 74 108
34.440000 74 108
34.230000 77 108
34.300000 77 108
34.370000 77 108
34.440000 77 108
34.510000 77 108
34.580000 77 108
34.650000 77 108
34.720000 77 108
34.860000 70 108
34.930000 70 108
35.000000 70 108
35.070000 70 108
34.860000 74 108
34.930000 74 108
35.000000 74 108
35.070000 74 108
34.860000 79 108
34.930000 79 108
35.000000 79 108
35.070000 79 108
35.140000 74 108
35.210000 74 108
35.140000 81 108
35.210000 81 108
35.280000 77 108
35.350000 77 108
35.700000 69 108
35.770000 69 108
35.700000 77 108
35.770000 77 108
35.910000 69 108
35.980000 69 108
35.910000 74 108
35.980000 74 108
36.050000 69 108
36.120000 69 108
36.960000 74 108
37.030000 74 108
36.960000 79 108
37.030000 79 108
36.960000 82 108
37.030000 82 108
37.520000 70 108
37.590000 70 108
37.520000 79 108
37.590000 79 108
37.660000 70 108
37.730000 70 108
37.660000 74 108
37.730000 74 108
37.800000 70 108
37.870000 70 108
38.710000 61 108
38.780000 61 108
38.710000 64 108
38.780000 64 108
38.850000 61 108
38.920000 61 108
38.990000 61 108
38.850000 64 108
38.920000 64 108
38.990000 64 108
39.200000 55 108
39.270000 55 108
39.340000 55 108
39.410000 55 108
39.480000 55 108
39.200000 62 108
39.270000 62 108
39.340000 62 108
39.410000 62 108
39.480000 62 108
39.620000 57 108
39.690000 57 108
39.760000 57 108
39.830000 57 108
39.900000 57 108
39.620000 61 108
39.690000 61 108
39.760000 61 108
39.830000 61 108
39.900000 61 108
39.620000 65 108
39.690000 65 108
39.760000 65 108
39.830000 65 108
39.900000 65 108
40.250000 65 108
40.320000 65 108
40.390000 67 108
40.460000 67 108
40.530000 62 108
40.600000 62 108
40.670000 62 108
40.530000 65 108
40.600000 65 108
40.670000 65 108
40.530000 69 108
40.600000 69 108
40.670000 69 108
40.810000 62 108
40.880000 62 108
40.950000 62 108
40.810000 65 108
40.880000 65 108
40.950000 65 108
40.810000 69 108
40.880000 69 108
40.950000 69 108
41.160000 62 108
41.230000 62 108
41.300000 62 108
41.160000 65 108
41.230000 65 108
41.300000 65 108
41.160000 69 108
41.230000 69 108
41.300000 69 108
41.440000 62 108
41.510000 62 108
41.440000 65 108
41.510000 65 108
41.440000 70 108
41.510000 70 108
41.580000 62 108
41.650000 62 108
41.580000 65 108
41.650000 65 108
41.580000 69 108
41.650000 69 108
42.350000 60 108
42.420000 60 108
42.490000 60 108
42.350000 64 108
42.420000 64 108
42.490000 64 108
42.350000 67 108
42.420000 67 108
42.490000 67 108
